,I_max_time,I_max,S_50_time
country,81.9,4213.003741786985,67.5
city_00,88.0,178.71304326677796,74.4
city_10,84.4,178.80994788382435,70.8
city_20,82.7,178.8719549838178,69.10000000000001
city_30,84.4,178.80994788382435,70.8
city_40,88.0,178.71304326677796,74.4
city_01,84.4,178.80994788382432,70.8
city_11,77.80000000000001,179.1279379860375,64.2
city_21,72.7,179.59142029993558,59.1
city_31,77.80000000000001,179.1279379860375,64.2
city_41,84.4,178.80994788382432,70.8
city_02,82.7,178.8719549838178,69.10000000000001
city_12,72.7,179.59142029993558,59.1
city_22,47.5,193.70776515610552,34.4
city_32,72.7,179.59142029993558,59.1
city_42,82.7,178.8719549838178,69.10000000000001
city_03,84.4,178.80994788382432,70.8
city_13,77.80000000000001,179.1279379860375,64.2
city_23,72.7,179.59142029993558,59.1
city_33,77.80000000000001,179.1279379860375,64.2
city_43,84.4,178.80994788382432,70.8
city_04,88.0,178.71304326677796,74.4
city_14,84.4,178.80994788382432,70.8
city_24,82.7,178.8719549838178,69.10000000000001
city_34,84.4,178.80994788382432,70.8
city_44,88.0,178.71304326677796,74.4
