,I_max_time,I_max,S_50_time
country,122.7,4173.555577266329,108.2
city_00,129.0,178.5171536402945,115.4
city_10,125.2,178.51789617288688,111.60000000000001
city_20,123.4,178.5182403532259,109.80000000000001
city_30,125.2,178.5178961728869,111.60000000000001
city_40,129.0,178.5171536402945,115.4
city_01,125.2,178.5178961728869,111.60000000000001
city_11,118.10000000000001,178.51993026090904,104.5
city_21,112.7,178.52326045658913,99.10000000000001
city_31,118.10000000000001,178.51993026090904,104.5
city_41,125.2,178.5178961728869,111.60000000000001
city_02,123.4,178.5182403532259,109.80000000000001
city_12,112.7,178.52326045658913,99.10000000000001
city_22,84.60000000000001,178.6811906761725,71.0
city_32,112.7,178.52326045658913,99.10000000000001
city_42,123.4,178.5182403532259,109.80000000000001
city_03,125.2,178.5178961728869,111.60000000000001
city_13,118.10000000000001,178.519930260909,104.5
city_23,112.7,178.52326045658913,99.10000000000001
city_33,118.10000000000001,178.51993026090904,104.5
city_43,125.2,178.5178961728869,111.60000000000001
city_04,129.0,178.5171536402945,115.4
city_14,125.2,178.5178961728869,111.60000000000001
city_24,123.4,178.5182403532259,109.80000000000001
city_34,125.2,178.5178961728869,111.60000000000001
city_44,129.0,178.5171536402945,115.4
